show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,Hidden Shadow 1,Casey Wilson,"Aisha Williams, Lucas Lee, Taylor Kim",United States,17-04-2024,1995,R,100 min,Drama,"A drama story about unexpected choices, relationships, and a journey that changes everything."
s0002,TV Show,Secret Legacy 2,Emma Taylor,"Riley Sharma, Drew Taylor",Italy,10-01-2022,2011,TV-G,6 Seasons,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0003,TV Show,Broken Legacy 3,Noah Williams,"Taylor Lee, Cameron Clark, Liam Jackson, Emma Davis, Mia Brown",Canada,12-02-2021,2008,TV-G,8 Seasons,"Thriller, Family","A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0004,TV Show,Dark Truth 4,Maya Davis,"Mia Lewis, Olivia Brown, Liam Clark, Riley Lee","United Kingdom, Germany",18-08-2018,2014,TV-14,4 Seasons,"Sci-Fi, Adventure, Mystery","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0005,Movie,Midnight Game 5,Jamie Brown,"Emma Thomas, Sam Clark, Sofia Patel","Australia, Germany",18-05-2026,1999,NC-17,149 min,Crime,"A crime story about unexpected choices, relationships, and a journey that changes everything."
s0006,TV Show,Final Game 6,Maya Wilson,"Ethan Garcia, Taylor Johnson, Morgan Jones",Italy,06-09-2024,2017,TV-Y,8 Seasons,Family,"A family story about unexpected choices, relationships, and a journey that changes everything."
s0007,TV Show,Wild City 7,Lucas Williams,"Olivia Thomas, Morgan Anderson, Priya Miller, Daniel Smith","Nigeria, Brazil, Japan",05-01-2025,2022,TV-PG,5 Seasons,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0008,Movie,Golden Truth 8,Riley Lee,"Liam Thomas, Sofia Smith",South Korea,17-12-2018,2009,R,168 min,Action,"A action story about unexpected choices, relationships, and a journey that changes everything."
s0009,TV Show,Last Road 9,Avery Jones,"Noah Miller, Jamie Martin, Liam Sharma, Sam Lee, Aisha Davis","France, Australia",12-10-2020,2013,TV-MA,4 Seasons,"Reality TV, Thriller","A reality tv story about unexpected choices, relationships, and a journey that changes everything."
s0010,Movie,Midnight City 10,Emma Lee,"Emma Wilson, Alex Brown, Mia Clark",India,14-02-2021,1992,TV-PG,160 min,Sci-Fi,"A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0011,TV Show,Lost Road 11,Avery Kim,"Casey Garcia, Priya Davis, Morgan Williams, Lucas Sharma, Maya Sharma",Turkey,08-07-2022,1993,TV-Y7,6 Seasons,"Thriller, Comedy","A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0012,Movie,Secret Signal 12,Sam Lee,"Avery Sharma, Riley Taylor, Daniel Wilson, Taylor Khan, Noah Williams",Spain,13-06-2023,1990,PG,136 min,"Sci-Fi, Documentary, Horror","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0013,Movie,Burning Dream 13,Riley Patel,"Arjun Taylor, Daniel Anderson",Brazil,10-06-2020,2025,TV-MA,82 min,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0014,Movie,Midnight Dream 14,Jordan Kim,"Ethan Martin, Riley Johnson, Ethan Brown, Riley Brown, Liam Brown",Canada,02-12-2018,2015,PG,128 min,"Sci-Fi, Comedy, Fantasy","A sci-fi story about unexpected choices, relationships, and a journey that changes everything."
s0015,TV Show,Rising Signal 15,Lucas Thomas,"Jamie Patel, Avery Lewis, Olivia Anderson",Nigeria,28-10-2018,1994,TV-G,9 Seasons,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0016,Movie,Northern Shadow 16,Avery Jackson,"Casey Jackson, Cameron Miller",Spain,05-07-2019,2009,G,108 min,"Fantasy, Thriller","A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0017,Movie,Silent Road 17,Avery Taylor,"Liam Davis, Mia Thomas, Sam Lewis, Olivia Taylor",Japan,15-01-2018,1993,PG,117 min,"Crime, Comedy","A crime story about unexpected choices, relationships, and a journey that changes everything."
s0018,Movie,Rising Promise 18,Aisha Khan,"Noah Smith, Morgan Brown, Mia Jones, Noah Johnson, Maya Kim",France,05-01-2022,1998,G,101 min,Comedy,"A comedy story about unexpected choices, relationships, and a journey that changes everything."
s0019,Movie,Silent Truth 19,Noah Sharma,"Casey Miller, Riley Sharma, Alex Miller","South Korea, Italy",16-04-2022,2016,R,79 min,Thriller,"A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0020,TV Show,Secret Signal 20,Daniel Jackson,"Casey Wilson, Alex Lewis, Sam Patel, Drew Taylor","Italy, Japan",24-04-2018,2012,TV-Y7,2 Seasons,Adventure,"A adventure story about unexpected choices, relationships, and a journey that changes everything."
s0021,TV Show,Dark Mountain 21,Jamie Johnson,"Liam Sharma, Maya Thomas",Spain,01-07-2018,1997,TV-MA,7 Seasons,"Horror, Crime","A horror story about unexpected choices, relationships, and a journey that changes everything."
s0022,Movie,Northern Road 22,Lucas Lewis,"Maya Sharma, Taylor Lewis, Drew Singh",Turkey,29-08-2021,1997,NC-17,126 min,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
s0023,TV Show,Wild Code 23,Sam Sharma,"Lucas Miller, Liam Kim, Cameron Patel, Noah Smith, Cameron Anderson",Italy,25-09-2023,2010,TV-MA,8 Seasons,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0024,Movie,Last Hearts 24,Ethan Lewis,"Taylor Wilson, Lucas Anderson, Casey Davis, Avery Smith",Germany,21-01-2026,1994,TV-MA,164 min,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0025,TV Show,Crimson Game 25,Casey Jones,"Morgan Sharma, Casey Miller","Brazil, Spain",01-07-2019,2019,TV-G,8 Seasons,"Thriller, Reality TV","A thriller story about unexpected choices, relationships, and a journey that changes everything."
s0026,TV Show,Electric Project 26,Aisha Martin,"Noah Khan, Riley Garcia, Daniel Taylor, Casey Clark, Jamie Martin",Canada,18-08-2020,2007,TV-MA,5 Seasons,Fantasy,"A fantasy story about unexpected choices, relationships, and a journey that changes everything."
s0027,TV Show,Midnight Road 27,Taylor Jones,"Casey Patel, Mia Jones, Mia Davis",France,27-04-2020,2011,TV-Y,7 Seasons,Comedy,"A comedy story about unexpected choices, relationships, and a journey that changes everything."
s0028,TV Show,Final City 28,Emma Patel,"Alex Jackson, Cameron Patel, Priya Lee, Aisha Lee, Liam Wilson",Japan,02-07-2025,2017,TV-MA,7 Seasons,Adventure,"A adventure story about unexpected choices, relationships, and a journey that changes everything."
s0029,Movie,Electric Code 29,Liam Lee,"Arjun Kim, Emma Lewis",Australia,01-12-2020,2017,PG-13,123 min,"Documentary, Comedy","A documentary story about unexpected choices, relationships, and a journey that changes everything."
s0030,TV Show,Lost Legacy 30,Drew Thomas,"Jamie Sharma, Jamie Brown, Sofia Smith, Aisha Lee, Jordan Jackson",India,17-09-2019,1992,TV-G,4 Seasons,"Horror, Drama, Fantasy","A horror story about unexpected choices, relationships, and a journey that changes everything."
s0031,Movie,Crimson Kingdom 31,Emma Davis,"Mia Taylor, Maya Miller, Liam Singh, Aisha Williams, Riley Anderson",United States,08-11-2018,2009,TV-14,150 min,Horror,"A horror story about unexpected choices, relationships, and a journey that changes everything."
s0032,Movie,Silent Hearts 32,Lucas Singh,"Emma Johnson, Maya Lee",South Korea,01-07-2023,1994,TV-PG,88 min,Mystery,"A mystery story about unexpected choices, relationships, and a journey that changes everything."
